Name,Location,City,P.O Box,Phone,Company Page Link,Logo URL
Big Bite Restaurant,"Near Abu Shagara Park, Sharjah",Sharjah,,06-5595643,https://www.yellowpages-uae.com/big-bite-restaurant-175581.html,https://media.yellowpages-uae.com/images/placeholder.png
Big Gate Restaurant & Cafeteria,"Nakheel Rd, Deira, Dubai",Dubai,,04-2212215,https://www.yellowpages-uae.com/big-gate-restaurant-cafeteria-175217.html,https://media.yellowpages-uae.com/images/placeholder.png
Big Smoke Burger,"Al Wasl Road, Dubai",Dubai,,04-3436533,https://www.yellowpages-uae.com/big-smoke-burger-175625.html,https://media.yellowpages-uae.com/images/placeholder.png
Bilad Al Rafidain Used Car LLC,,,,06-5424667,https://www.yellowpages-uae.com/bilad-al-rafidain-used-car-llc-148207.html,https://media.yellowpages-uae.com/images/placeholder.png
Billionaire Mansion,"Taj Dubai, Business Bay, Dubai",Dubai,,04-5103100,https://www.yellowpages-uae.com/billionaire-mansion-175801.html,https://media.yellowpages-uae.com/images/placeholder.png
Bin Hindi Restaurant,"R/A 8, Near Al Badia Rest, Jebel Ali Free Zone, Jebel Ali",Jebel Ali,17280,04-8836620,https://www.yellowpages-uae.com/bin-hindi-restaurant-123544.html,https://media.yellowpages-uae.com/images/placeholder.png
Biriyani House Restaurant,"Ajman-Sharjah Rd, Sharjah",Sharjah,4551,06-7432136,https://www.yellowpages-uae.com/biriyani-house-restaurant-138537.html,https://media.yellowpages-uae.com/images/placeholder.png
Biriyani Hut Restaurant LLC,"Madinat Zayed, Abu Dhabi",Abu Dhabi,105329,02-6332112,https://www.yellowpages-uae.com/biriyani-hut-restaurant-llc-145577.html,https://media.yellowpages-uae.com/images/placeholder.png
Woodys,"Food Court, Ramla Mall, DIP, Jebel Ali",Jebel Ali,488059,04-8878338,https://www.yellowpages-uae.com/woodys-146036.html,https://media.yellowpages-uae.com/images/placeholder.png
Wrapchic,,,,04-3589999,https://www.yellowpages-uae.com/wrapchic-175545.html,https://media.yellowpages-uae.com/images/placeholder.png
Y Bar,"Yas Island, Rotana Hotel, Abu Dhabi",Abu Dhabi,,02-6564000,https://www.yellowpages-uae.com/y-bar-143655.html,https://media.yellowpages-uae.com/images/placeholder.png
Yannick Alleno,"Palm Jumeirah, Dubai",Dubai,,04-44010101,https://www.yellowpages-uae.com/yannick-alleno-67827.html,https://media.yellowpages-uae.com/images/placeholder.png
Yasmin Sweets and Restaurant,"Old Passport Rd, Abu Dhabi",Abu Dhabi,28815,02-6312580,https://www.yellowpages-uae.com/yasmin-sweets-and-restaurant-134744.html,https://media.yellowpages-uae.com/images/placeholder.png
Yellow Cab Pizza Company,"Satwa, Dubai",Dubai,,04-3456785,https://www.yellowpages-uae.com/yellow-cab-pizza-company-175283.html,https://media.yellowpages-uae.com/images/placeholder.png
Yum Yum Tree Food Court,,,,04-4461500,https://www.yellowpages-uae.com/yum-yum-tree-food-court-148012.html,https://media.yellowpages-uae.com/images/placeholder.png
Yummy Indian Restaurant,"Damascus St, Al Qusais 2, Dubai",Dubai,333457,04-2677337,https://www.yellowpages-uae.com/yummy-indian-restaurant-123622.html,https://media.yellowpages-uae.com/images/placeholder.png
Z Pizza Restaurant,"Jumeirah Beach Rd, Dubai Marina, Dubai",Dubai,98811,04-3649292,https://www.yellowpages-uae.com/z-pizza-restaurant-147109.html,https://media.yellowpages-uae.com/images/placeholder.png
Zaatar W Zeit,"Sh Zayed Rd, Dubai",Dubai,,600-522231,https://www.yellowpages-uae.com/zaatar-w-zeit-175498.html,https://media.yellowpages-uae.com/images/placeholder.png
Zabeel Restaurant,"Bur Dubai Bus Stn, Dubai",Dubai,45570,04-3939471,https://www.yellowpages-uae.com/zabeel-restaurant-117883.html,https://media.yellowpages-uae.com/images/placeholder.png
Zafran,"Marina Mall, Dubai",Dubai,,04-2840987,https://www.yellowpages-uae.com/zafran-175627.html,https://media.yellowpages-uae.com/images/placeholder.png
Zahrat Al Quds Rest,"Abu Hail Centre, Deira, Dubai",Dubai,86052,04-2977510,https://www.yellowpages-uae.com/zahrat-al-quds-rest-131172.html,https://media.yellowpages-uae.com/images/placeholder.png
Zahrat Al Reef Al Shami Restaurant,,,,06-5214175,https://www.yellowpages-uae.com/zahrat-al-reef-al-shami-restaurant-147653.html,https://media.yellowpages-uae.com/images/placeholder.png
Zaid Al Ammar Seafood Restaurant,"Bhnd Al Mamzar Centre, Abu Hail, Dubai",Dubai,,04-2560000,https://www.yellowpages-uae.com/zaid-al-ammar-seafood-restaurant-175301.html,https://media.yellowpages-uae.com/images/placeholder.png
Zam Zam Restaurant,"Near Sony Electronics S/Room, Marijah Rd, Sharjah",Sharjah,66,06-5682940,https://www.yellowpages-uae.com/zam-zam-restaurant-117647.html,https://media.yellowpages-uae.com/images/placeholder.png
Zaytinya,"Al Seef Village Mall, Abu Dhabi",Abu Dhabi,,02-4474489,https://www.yellowpages-uae.com/zaytinya-175664.html,https://media.yellowpages-uae.com/images/placeholder.png
Avasa Restaurant,"Saadiyat Island, Abu Dhabi",Abu Dhabi,,02-6742221,https://www.yellowpages-uae.com/avasa-restaurant-175672.html,https://media.yellowpages-uae.com/images/placeholder.png
Avon Restaurant,"Gold Souq, Deira, Dubai",Dubai,,04-2251827,https://www.yellowpages-uae.com/avon-restaurant-143133.html,https://media.yellowpages-uae.com/images/placeholder.png
Awtar Restaurant,"TCA, Abu Dhabi",Abu Dhabi,4832,02-6441551,https://www.yellowpages-uae.com/awtar-restaurant-133511.html,https://media.yellowpages-uae.com/images/placeholder.png
Aysha Restaurant,"Street 33C, Al Mussalla Road, Bur Dubai, Dubai",Dubai,,04-3525315,https://www.yellowpages-uae.com/aysha-restaurant-172959.html,https://media.yellowpages-uae.com/images/placeholder.png
Bab Al Yemen Mandi Restaurant,,,,04-2558787,https://www.yellowpages-uae.com/bab-al-yemen-mandi-restaurant-175326.html,https://media.yellowpages-uae.com/images/placeholder.png
Bab Deira Restaurant,"Abu Shagara Park, Sharjah",Sharjah,,06-5344765,https://www.yellowpages-uae.com/bab-deira-restaurant-175371.html,https://media.yellowpages-uae.com/images/placeholder.png
Bagatelle,"Farimont Hotel, Shk Zayed Road, Dubai",Dubai,,04-3545035,https://www.yellowpages-uae.com/bagatelle-175796.html,https://media.yellowpages-uae.com/images/placeholder.png
Baguette,"Khalifa St, Abu Dhabi",Abu Dhabi,27363,02-6276442,https://www.yellowpages-uae.com/baguette-142513.html,https://media.yellowpages-uae.com/images/placeholder.png
Baguette Cafe and Restaurant,"Corniche, Abu Dhabi",Abu Dhabi,2698,02-6273100,https://www.yellowpages-uae.com/baguette-cafe-and-restaurant-136184.html,https://media.yellowpages-uae.com/images/placeholder.png
Bait Al Kanafa Restaurant,"Deira, Dubai",Dubai,,04-2689900,https://www.yellowpages-uae.com/bait-al-kanafa-restaurant-172960.html,https://media.yellowpages-uae.com/images/placeholder.png
Bait Al Khetyar Cafeteria,"Najdah St, Abu Dhabi",Abu Dhabi,,02-6333200,https://www.yellowpages-uae.com/bait-al-khetyar-cafeteria-147961.html,https://media.yellowpages-uae.com/images/placeholder.png
Bait Al Mandi Restaurant,"Muraqabat, Dubai",Dubai,,04-2629139,https://www.yellowpages-uae.com/bait-al-mandi-restaurant-107990.html,https://media.yellowpages-uae.com/images/placeholder.png
Bait Al Wakeel,"Near Bank Of Baroda, Bur Dubai, Dubai",Dubai,3919,04-3534870,https://www.yellowpages-uae.com/antalia-bait-al-wakeel-96359.html,https://media.yellowpages-uae.com/images/placeholder.png
Bait Karachi and Delhi Biryani Restaurant,"Next to Mega Mall, Abu Shagara, Sharjah",Sharjah,,06-5734651,https://www.yellowpages-uae.com/bait-karachi-and-delhi-biryani-restaurant-142767.html,https://media.yellowpages-uae.com/images/placeholder.png
Baker Street,"G 08, Dubai Gate, JLT, Dubai",Dubai,488183,04-3629392,https://www.yellowpages-uae.com/baker-street-147695.html,https://media.yellowpages-uae.com/images/placeholder.png
Bakhit Ahmed Bakhit Restaurant,,,,04-2711357,https://www.yellowpages-uae.com/bakhit-ahmed-bakhit-restaurant-142371.html,https://media.yellowpages-uae.com/images/placeholder.png
Balad Al Khayvat Restaurant,"Near National Paints. Muwailah Rd, Sharjah",Sharjah,,06-5427605,https://www.yellowpages-uae.com/balad-al-khayvat-restaurant-147329.html,https://media.yellowpages-uae.com/images/placeholder.png
Baladna,,,,02-6446648,https://www.yellowpages-uae.com/baladna-146013.html,https://media.yellowpages-uae.com/images/placeholder.png
Bandar Bride Restaurant,"Murshid Bazar, Deira, Dubai",Dubai,112675,04-2254443,https://www.yellowpages-uae.com/bandar-bride-restaurant-132971.html,https://media.yellowpages-uae.com/images/placeholder.png
Bandung Restaurant,"Baharia St, Abu Dhabi",Abu Dhabi,73843,02-6452008,https://www.yellowpages-uae.com/bandung-restaurant-145479.html,https://media.yellowpages-uae.com/images/placeholder.png
Nahaam,"Jumeirah Al Etihad Towers, Al khubeirah, Abu Dhabi",Abu Dhabi,,02-8115555,https://www.yellowpages-uae.com/nahaam-175711.html,https://media.yellowpages-uae.com/images/placeholder.png
Nalan Restaurant LLC,"Burjuman Centre, Khalid Bin Al Waleed Road, Bur Dubai, Dubai",Dubai,,04-3541900,https://www.yellowpages-uae.com/nalan-restaurant-llc-178638.html,https://media.yellowpages-uae.com/images/placeholder.png
Nalas Aappakadai Chettinad Restaurant LLC,,,,02-6721500,https://www.yellowpages-uae.com/nalas-aappakadai-chettinad-restaurant-llc-146541.html,https://media.yellowpages-uae.com/images/placeholder.png
Nasar Restaurant,"Old Airport Rd, Abu Dhabi",Abu Dhabi,25634,02-6210482,https://www.yellowpages-uae.com/nasar-restaurant-141299.html,https://media.yellowpages-uae.com/images/placeholder.png
Nasr Restaurant & Grill,"TCA, Abu Dhabi",Abu Dhabi,,02-6444228,https://www.yellowpages-uae.com/nasr-restaurant-grill-145510.html,https://media.yellowpages-uae.com/images/placeholder.png
National Restaurant,"Near Hilton Hotel, Khorfakkan Rd, Fujairah",Fujairah,718,09-2222753,https://www.yellowpages-uae.com/national-restaurant-121119.html,https://media.yellowpages-uae.com/images/placeholder.png
Nawab Restaurant,"Al Ain Centre (Computer Plaza), Bur Dubai, Dubai",Dubai,29877,04-3599884,https://www.yellowpages-uae.com/nawab-restaurant-130832.html,https://media.yellowpages-uae.com/images/placeholder.png
Neelgiris Vegetarian Restaurant,"Ramla Mall Food Court, DIP, Jebel Ali",Jebel Ali,30884,04-8847644,https://www.yellowpages-uae.com/neelgiris-vegetarian-restaurant-146563.html,https://media.yellowpages-uae.com/images/placeholder.png
Nell Gwynns,"Dubai Marina, Dubai",Dubai,,04-4488222,https://www.yellowpages-uae.com/nell-gwynns-175769.html,https://media.yellowpages-uae.com/images/placeholder.png
Nellara Restaurant LLC,"Al Fattan Bldg, Opp Nihal, Al Qusais, Dubai",Dubai,,04-2806444,https://www.yellowpages-uae.com/nellara-restaurant-llc-143857.html,https://media.yellowpages-uae.com/images/placeholder.png
New Bawarchi Restaurant,"Bhnd Raffa Police Stn, Near Golden Fork, Bur Dubai, Dubai",Dubai,43263,04-3552833,https://www.yellowpages-uae.com/new-bawarchi-restaurant-175295.html,https://media.yellowpages-uae.com/images/placeholder.png
New City Palace Restaurant,"Al Falah Street, Abu Dhabi",Abu Dhabi,31912,02-6262762,https://www.yellowpages-uae.com/new-city-palace-restaurant-145643.html,https://media.yellowpages-uae.com/images/placeholder.png
New Damascus Sweets and Restaurant,"Beside Madina S/Market, Al Gurfa, Fujairah",Fujairah,252,09-2222281,https://www.yellowpages-uae.com/new-damascus-sweets-and-restaurant-138104.html,https://media.yellowpages-uae.com/images/placeholder.png
New Defood Restaurant,"Al Fajar Building, Near Al Hilal Bank, Al Garhoud, Dubai",Dubai,,04-2502829,https://www.yellowpages-uae.com/new-defood-restaurant-175557.html,https://media.yellowpages-uae.com/images/placeholder.png
New Generation Restaurant,"Near Deira Taxi Stand, Deira, Dubai",Dubai,56296,04-2242332,https://www.yellowpages-uae.com/new-generation-restaurant-134894.html,https://media.yellowpages-uae.com/images/placeholder.png
New Luck Restaurant,"Al Quoz, Dubai",Dubai,11059,04-3472101,https://www.yellowpages-uae.com/new-luck-restaurant-144264.html,https://media.yellowpages-uae.com/images/placeholder.png
New Madras Vegetarian Restaurant,"Deira, Dubai",Dubai,,04-2233885,https://www.yellowpages-uae.com/new-madras-vegetarian-restaurant-106907.html,https://media.yellowpages-uae.com/images/placeholder.png
New Midnight Cafe Restaurant,"Street 1, Discovery Gardens, Dubai",Dubai,34685,800-5423789,https://www.yellowpages-uae.com/new-midnight-cafe-restaurant-148002.html,https://media.yellowpages-uae.com/images/placeholder.png
New Quetta Cafeteria and Restaurant,"Main Rd, Al Ain",Al Ain,15283,03-7517716,https://www.yellowpages-uae.com/new-quetta-cafeteria-and-restaurant-131518.html,https://media.yellowpages-uae.com/images/placeholder.png
New Royal Chef Restaurant,"Bhnd Sahara Centre, Al Nahda 1, Dubai",Dubai,,04-2527991,https://www.yellowpages-uae.com/new-royal-chef-restaurant-175351.html,https://media.yellowpages-uae.com/images/placeholder.png
Haji Sahab Restaurant,"1 B, Discovery Gardens, Dubai",Dubai,,04-4279602,https://www.yellowpages-uae.com/haji-sahab-restaurant-176114.html,https://media.yellowpages-uae.com/images/placeholder.png
Hanoi,"Khalifa St, Abu Dhabi",Abu Dhabi,,02-6261112,https://www.yellowpages-uae.com/hanoi-146015.html,https://media.yellowpages-uae.com/images/placeholder.png
Hapi Cafe,"Al Quoz, Dubai",Dubai,,04-2251807,https://www.yellowpages-uae.com/hapi-cafe-175760.html,https://media.yellowpages-uae.com/images/placeholder.png
Happy Malabar Cafe & Restaurant,"Near Karachi Darbar, Satwa, Dubai",Dubai,,04-3234322,https://www.yellowpages-uae.com/happy-malabar-cafe-restaurant-175318.html,https://media.yellowpages-uae.com/images/placeholder.png
Haram Restaurant,"Near Satwa Bus Stand, Dubai",Dubai,,04-3317799,https://www.yellowpages-uae.com/haram-restaurant-175317.html,https://media.yellowpages-uae.com/images/placeholder.png
Hard Walls,"Corniche Rd, Abu Dhabi",Abu Dhabi,43695,02-6814200,https://www.yellowpages-uae.com/hard-walls-127321.html,https://media.yellowpages-uae.com/images/placeholder.png
Hari Restaurant,"Opp Liberty S/Room, New Double Cola Rd, Sharjah",Sharjah,28650,06-5338414,https://www.yellowpages-uae.com/hari-restaurant-128589.html,https://media.yellowpages-uae.com/images/placeholder.png
Haseen Rest and Mini Market,"R/A 8, Jebel Ali Free Zone, Jebel Ali",Jebel Ali,2316,04-8839944,https://www.yellowpages-uae.com/haseen-rest-and-mini-market-126508.html,https://media.yellowpages-uae.com/images/placeholder.png
Haseen Restaurant,"Jebel Ali Free Zone, Dubai",Dubai,,04-8839955,https://www.yellowpages-uae.com/haseen-restaurant-147112.html,https://media.yellowpages-uae.com/images/placeholder.png
Hatam Al Taai Restaurant,"Baniyas Sq, Opp Kuwaiti S/M, Deira, Dubai",Dubai,1026,04-2247776,https://www.yellowpages-uae.com/hatam-al-taai-restaurant-138427.html,https://media.yellowpages-uae.com/images/placeholder.png
Hatta Fort Hotel,"Oman-Hatta Main Highway, Resort Area, Dubai",Dubai,9277,04-8523211,https://www.yellowpages-uae.com/hatta-fort-hotel-113343.html,https://media.yellowpages-uae.com/images/placeholder.png
Haunters Room & Grill,"Western Mina Seyahi, Al Soufouh Rd, Dubai Marina, Dubai",Dubai,,04-3994141,https://www.yellowpages-uae.com/haunters-room-grill-143105.html,https://media.yellowpages-uae.com/images/placeholder.png
Havana Group,"Hamdan Street, Abu Dhabi",Abu Dhabi,33066,02-6724400,https://www.yellowpages-uae.com/havana-group-119067.html,https://media.yellowpages-uae.com/images/placeholder.png
Hayat Sweets,"Near Russian Embassy, Hamdan Street, Abu Dhabi",Abu Dhabi,,02-6661590,https://www.yellowpages-uae.com/hayat-sweets-175585.html,https://media.yellowpages-uae.com/images/placeholder.png
Hayath Restaurant,"Dibba, Fujairah",Fujairah,11401,09-2443282,https://www.yellowpages-uae.com/hayath-restaurant-121422.html,https://media.yellowpages-uae.com/images/placeholder.png
Heroes Restaurant,"Crown Plaza, Abu Dhabi",Abu Dhabi,,02-6166132,https://www.yellowpages-uae.com/heroes-restaurant-175653.html,https://media.yellowpages-uae.com/images/placeholder.png
Hiccup,"Fotouh Al Khair Centre, Al Markaziyah, Abu Dhabi",Abu Dhabi,,02-6315111,https://www.yellowpages-uae.com/hiccup-175700.html,https://media.yellowpages-uae.com/images/placeholder.png
Himalaya Restaurent,"Deria -Naif Road, Dubai",Dubai,,04-2252293,https://www.yellowpages-uae.com/himalaya-restaurent-101160.html,https://media.yellowpages-uae.com/images/placeholder.png
Hobaita Restaurent,"Naif Rd, Deira, Dubai",Dubai,,04-2223749,https://www.yellowpages-uae.com/hobaita-restaurent-142909.html,https://media.yellowpages-uae.com/images/placeholder.png
Home Foods Restaurant,"Karama Centre, Opp Dubai Municipality, Karama, Dubai",Dubai,165,04-3979910,https://www.yellowpages-uae.com/home-foods-restaurant-133154.html,https://media.yellowpages-uae.com/images/placeholder.png
Biriyani Pot,"Jumeirah, Dubai",Dubai,,04-3382277,https://www.yellowpages-uae.com/biriyani-pot-175542.html,https://media.yellowpages-uae.com/images/placeholder.png
